matchID,Win,OpponentsTeam1,OpponentsTeam2,OpponentsTeam3,OpponentsTeam4,OpponentsTeam5,OpponentsTeam6,OpponentBrought1,OpponentBrought2,OpponentBrought3,OpponentBrought4
705887248,1,Tapu Koko,Landorus,Cresselia,Tyranitar,Charizard,Snorlax,Tapu Koko,Landorus,Cresselia,Tyranitar
705887248,0,Tapu Fini,Kartana,Tyranitar,Zapdos,Landorus,Gengar,Kartana,Tyranitar,Landorus,Gengar
706121062,1,Gengar,Whimsicott,Kartana,Kommo-o,Heatran,Tapu Bulu,Gengar,Whimsicott,Kommo-o,Tapu Bulu
706121062,0,Azumarill,Clefairy,Tyranitar,Excadrill,Salamence,Thundurus,Clefairy,Tyranitar,Excadrill,Salamence
705250175,1,Landorus,Cresselia,Heatran,Tapu Bulu,Aegislash,Kangaskhan,Landorus,Heatran,Aegislash,Kangaskhan
705250175,0,Gyarados,Naganadel,Celesteela,Raichu,Heatran,Amoonguss,Gyarados,Celesteela,Raichu,Heatran
706030847,1,Landorus,Charizard,Tapu Koko,Gothitelle,Snorlax,Kommo-o,Landorus,Charizard,Tapu Koko,Kommo-o
706030847,0,Tapu Lele,Metagross,Landorus,Zapdos,Muk,Porygon2,Tapu Lele,Landorus,Muk,Porygon2
706197018,1,Gengar,Kommo-o,Scizor,Whimsicott,Tapu Koko,Buzzwole,Kommo-o,Scizor,Whimsicott,Tapu Koko
706197018,0,Tyranitar,Tapu Fini,Rotom,Aegislash,Cresselia,Landorus,Tyranitar,Tapu Fini,Cresselia,Landorus
704400966,0,Tyranitar,Aegislash,Charizard,Cresselia,Tapu Fini,Landorus,Tyranitar,Aegislash,Charizard,Cresselia
704400966,1,Landorus,Tapu Fini,Manectric,Snorlax,Celesteela,Amoonguss,Landorus,Tapu Fini,Manectric,Snorlax
705114430,0,Salamence,Azumarill,Clefairy,Tyranitar,Excadrill,Thundurus,Salamence,Clefairy,Excadrill,Thundurus
705114430,1,Tapu Koko,Kangaskhan,Cresselia,Heatran,Landorus,Kommo-o,Tapu Koko,Kangaskhan,Landorus,Kommo-o
704179396,0,Camerupt,Scrafty,Tapu Koko,Tapu Bulu,Porygon2,Metagross,Camerupt,Scrafty,Tapu Bulu,Porygon2
704179396,1,Gengar,Persian,Tapu Bulu,Muk,Politoed,Kingdra,Gengar,Persian,Muk,Politoed
704400899,0,Tyranitar,Aegislash,Charizard,Cresselia,Tapu Fini,Landorus,Tyranitar,Charizard,Cresselia,Tapu Fini
704400899,1,Landorus,Tapu Fini,Manectric,Snorlax,Celesteela,Amoonguss,Landorus,Tapu Fini,Manectric,Snorlax
