matchID,Win,OpponentsTeam1,OpponentsTeam2,OpponentsTeam3,OpponentsTeam4,OpponentsTeam5,OpponentsTeam6,OpponentBrought1,OpponentBrought2,OpponentBrought3,OpponentBrought4
688969968,0,Cresselia,Charizard,Snorlax,Tapu Koko,Landorus,Weavile,Cresselia,Snorlax,Tapu Koko,Landorus
688969968,1,Accelgor,Tapu Lele,Kommo-o,Gengar,Landorus,Politoed,Accelgor,Tapu Lele,Gengar,Politoed
687362919,1,Salamence,Volcarona,Tapu Fini,Excadrill,Tyranitar,Amoonguss,Salamence,Tapu Fini,Excadrill,Tyranitar
687362919,0,Metagross,Tapu Lele,Landorus,Zapdos,Amoonguss,Tyranitar,Metagross,Tapu Lele,Landorus,Zapdos
687483634,0,Scizor,Tapu Fini,Landorus,Zapdos,Tyranitar,Naganadel,Scizor,Tapu Fini,Tyranitar,Naganadel
687483634,1,Tapu Fini,Metagross,Persian,Volcarona,Tapu Bulu,Tyranitar,Metagross,Persian,Volcarona,Tapu Bulu
688198860,1,Zapdos,Metagross,Tapu Fini,Landorus,Amoonguss,Tyranitar,Metagross,Tapu Fini,Amoonguss,Tyranitar
688198860,0,Gengar,Whimsicott,Kommo-o,Tapu Koko,Tapu Bulu,Scrafty,Gengar,Kommo-o,Tapu Koko,Scrafty
688865584,0,Charizard,Tapu Koko,Landorus,Kartana,Cresselia,Snorlax,Landorus,Cresselia,unknown,unknown
688865584,1,Metagross,Blissey,Kommo-o,Meowstic,Charizard,Landorus,Kommo-o,Meowstic,unknown,unknown
689029249,0,Tapu Fini,Manectric,Landorus,Snorlax,Incineroar,Mimikyu,Tapu Fini,Manectric,Landorus,Incineroar
689029249,1,Gengar,Whimsicott,Charizard,Kommo-o,Landorus,Tapu Koko,Whimsicott,Charizard,Landorus,unknown
686918972,1,Gyarados,Landorus,Ferrothorn,Incineroar,Cresselia,Tapu Koko,Landorus,Ferrothorn,Incineroar,Cresselia
686918972,0,Tyranitar,Tapu Fini,Landorus,Amoonguss,Zapdos,Metagross,Tyranitar,Tapu Fini,Landorus,Zapdos
688929138,1,Gardevoir,Amoonguss,Tapu Lele,Aegislash,Landorus,Zapdos,Gardevoir,Amoonguss,Tapu Lele,Zapdos
688929138,0,Salamence,Azumarill,Hitmontop,Mimikyu,Amoonguss,Tapu Koko,Salamence,Azumarill,Mimikyu,Tapu Koko
688929040,1,Gardevoir,Amoonguss,Tapu Lele,Aegislash,Landorus,Zapdos,Gardevoir,Amoonguss,Zapdos,unknown
688929040,0,Salamence,Azumarill,Hitmontop,Mimikyu,Amoonguss,Tapu Koko,Salamence,Azumarill,Mimikyu,Amoonguss
688683624,0,Metagross,Tapu Lele,Ludicolo,Tapu Koko,Politoed,Incineroar,Metagross,Ludicolo,Tapu Koko,Politoed
688683624,1,Latias,Landorus,Aegislash,Tapu Fini,Tyranitar,Kartana,Latias,Landorus,Aegislash,Kartana
687362766,0,Metagross,Tapu Lele,Landorus,Zapdos,Amoonguss,Tyranitar,Metagross,Tapu Lele,Landorus,Zapdos
687362766,1,Salamence,Volcarona,Tapu Fini,Excadrill,Tyranitar,Amoonguss,Salamence,Tapu Fini,Excadrill,Tyranitar
688970061,0,Cresselia,Charizard,Snorlax,Tapu Koko,Landorus,Weavile,Cresselia,Snorlax,Tapu Koko,Landorus
688970061,1,Accelgor,Tapu Lele,Kommo-o,Gengar,Landorus,Politoed,Accelgor,Tapu Lele,Gengar,Landorus
688822046,1,Charizard,Scrafty,Cresselia,Landorus,Aegislash,Tapu Koko,Scrafty,Cresselia,Aegislash,Tapu Koko
688822046,0,Landorus,Kartana,Tapu Fini,Salamence,Snorlax,Zapdos,Landorus,Tapu Fini,Salamence,Snorlax
687989563,1,Amoonguss,Incineroar,Politoed,Gothitelle,Mawile,Landorus,Incineroar,Gothitelle,Mawile,Landorus
687989563,0,Charizard,Kartana,Persian,Pheromosa,Stakataka,Tapu Koko,Charizard,Persian,Pheromosa,Tapu Koko
686956172,1,Tyranitar,Amoonguss,Zapdos,Landorus,Tapu Fini,Aegislash,Tyranitar,Amoonguss,Zapdos,Tapu Fini
686956172,0,Salamence,Azumarill,Amoonguss,Hitmontop,Tapu Koko,Bronzong,Salamence,Azumarill,Amoonguss,Tapu Koko
688865425,1,Metagross,Blissey,Kommo-o,Meowstic,Charizard,Landorus,Metagross,Blissey,Meowstic,Landorus
688865425,0,Charizard,Tapu Koko,Landorus,Kartana,Cresselia,Snorlax,Charizard,Tapu Koko,Landorus,Cresselia
687483721,0,Tapu Fini,Metagross,Persian,Volcarona,Tapu Bulu,Tyranitar,Metagross,Persian,Volcarona,Tapu Bulu
687483721,1,Scizor,Tapu Fini,Landorus,Zapdos,Tyranitar,Naganadel,Scizor,Zapdos,Tyranitar,Naganadel
686895950,0,Terrakion,Gengar,Whimsicott,Tapu Koko,Persian,Tsareena,Terrakion,Gengar,Whimsicott,Persian
686895950,1,Stakataka,Camerupt,Tapu Bulu,Hitmontop,Cresselia,Snorlax,Stakataka,Camerupt,Hitmontop,Cresselia
687759277,0,Charizard,Tapu Koko,Kommo-o,Landorus,Cresselia,Snorlax,Charizard,Tapu Koko,Kommo-o,Landorus
687759277,1,Gengar,Volcarona,Tapu Bulu,Tyranitar,Kommo-o,Hitmontop,Gengar,Volcarona,Tapu Bulu,Hitmontop
686967702,1,Tyranitar,Milotic,Excadrill,Salamence,Volcarona,Tapu Koko,Tyranitar,Milotic,Excadrill,Salamence
686967702,0,Charizard,Landorus,Tapu Koko,Kartana,Cresselia,Snorlax,Charizard,Landorus,Tapu Koko,Snorlax
688169311,0,Gengar,Tapu Bulu,Kommo-o,Incineroar,Naganadel,Scrafty,Gengar,Kommo-o,Incineroar,Naganadel
688169311,1,Salamence,Landorus,Amoonguss,Azumarill,Aegislash,Tapu Koko,Salamence,Landorus,Aegislash,Tapu Koko
688284527,1,Kangaskhan,Landorus,Heatran,Cresselia,Tapu Koko,Tapu Fini,Kangaskhan,Landorus,Heatran,Tapu Koko
688284527,0,Ninetales,Cherrim,Salamence,Clefairy,Weavile,Darmanitan,Ninetales,Cherrim,Salamence,Weavile
686921702,1,Gyarados,Landorus,Ferrothorn,Incineroar,Cresselia,Tapu Koko,Landorus,Ferrothorn,Incineroar,Cresselia
686921702,0,Tyranitar,Tapu Fini,Landorus,Amoonguss,Zapdos,Metagross,Tapu Fini,Landorus,Zapdos,Metagross
687934251,1,Manectric,Tapu Fini,Landorus,Celesteela,Snorlax,Gothitelle,Manectric,Landorus,Snorlax,Gothitelle
687934251,0,Pheromosa,Charizard,Mimikyu,Tapu Bulu,Snorlax,Landorus,Pheromosa,Charizard,Snorlax,Landorus
688075386,0,Tapu Koko,Landorus,Cresselia,Mawile,Tyranitar,Heatran,Landorus,Cresselia,Mawile,Tyranitar
688075386,1,Tapu Bulu,Cresselia,Landorus,Tyranitar,Heatran,Tapu Koko,Tapu Bulu,Landorus,Tyranitar,Heatran
687035435,0,Tyranitar,Whimsicott,Tapu Fini,Gengar,Landorus,Volcarona,Tyranitar,Whimsicott,Landorus,Volcarona
687035435,1,Charizard,Landorus,Porygon2,Tyranitar,Kartana,Tapu Koko,Charizard,Landorus,Porygon2,Tyranitar
687509847,0,Ferrothorn,Gyarados,Cresselia,Incineroar,Landorus,Tapu Koko,Gyarados,Incineroar,Landorus,Tapu Koko
687509847,1,Zapdos,Amoonguss,Metagross,Tapu Fini,Tyranitar,Landorus,Zapdos,Amoonguss,Metagross,Tyranitar
688248017,0,Tapu Fini,Landorus,Zapdos,Amoonguss,Metagross,Tyranitar,Tapu Fini,Landorus,Zapdos,Tyranitar
688248017,1,Celesteela,Tapu Bulu,Heatran,Pelipper,Ludicolo,Manectric,Celesteela,Tapu Bulu,Heatran,Manectric
688683748,0,Ferrothorn,Suicune,Charizard,Kangaskhan,Landorus,Tapu Koko,Suicune,Charizard,Landorus,Tapu Koko
688683748,1,Lopunny,Naganadel,Zapdos,Aegislash,Tapu Fini,Garchomp,Lopunny,Naganadel,Zapdos,unknown
688284358,1,Ninetales,Cherrim,Salamence,Clefairy,Weavile,Darmanitan,Ninetales,Cherrim,Weavile,unknown
688284358,0,Kangaskhan,Landorus,Heatran,Cresselia,Tapu Koko,Tapu Fini,Kangaskhan,Landorus,Heatran,Tapu Koko
688860871,1,Metagross,Zapdos,Landorus,Tapu Fini,Amoonguss,Aegislash,Metagross,Landorus,Tapu Fini,Aegislash
688860871,0,Tapu Fini,Snorlax,Gothitelle,Manectric,Rotom,Salamence,Tapu Fini,Snorlax,Gothitelle,Rotom
