matchID,Win,OpponentsTeam1,OpponentsTeam2,OpponentsTeam3,OpponentsTeam4,OpponentsTeam5,OpponentsTeam6,OpponentBrought1,OpponentBrought2,OpponentBrought3,OpponentBrought4
691586881,0,Politoed,Ludicolo,Tapu Koko,Incineroar,Mawile,Gothitelle,Politoed,Ludicolo,Tapu Koko,Mawile
691586881,1,Salamence,Amoonguss,Tapu Koko,Scrafty,Azumarill,Heatran,Salamence,Amoonguss,Tapu Koko,Scrafty
691346836,1,Gothitelle,Tapu Bulu,Heatran,Manectric,Araquanid,Persian,Gothitelle,Tapu Bulu,Araquanid,Persian
691346836,0,Tapu Fini,Landorus,Manectric,Cresselia,Aegislash,Snorlax,Tapu Fini,Landorus,Manectric,Snorlax
692284759,0,Salamence,Scrafty,Togekiss,Ferrothorn,Tyranitar,Entei,Salamence,Scrafty,Ferrothorn,Tyranitar
692284759,1,Tyranitar,Tapu Fini,Kartana,Landorus,Cresselia,Rotom,Tyranitar,Tapu Fini,Landorus,Rotom
692285920,1,Kangaskhan,Aegislash,Volcarona,Landorus,Tapu Fini,Zapdos,Kangaskhan,Aegislash,Tapu Fini,Zapdos
692285920,0,Ludicolo,Gothitelle,Snorlax,Pelipper,Manectric,Scrafty,Ludicolo,Pelipper,Manectric,Scrafty
691321067,0,Latias,Amoonguss,Mamoswine,Tapu Koko,Staraptor,Empoleon,Latias,Mamoswine,Tapu Koko,Staraptor
691321067,1,Metagross,Tapu Lele,Lilligant,Torkoal,Mimikyu,Snorlax,Metagross,Tapu Lele,Lilligant,Torkoal
692285770,1,Ludicolo,Gothitelle,Snorlax,Pelipper,Manectric,Scrafty,Ludicolo,Pelipper,Manectric,Scrafty
692285770,0,Kangaskhan,Aegislash,Volcarona,Landorus,Tapu Fini,Zapdos,Kangaskhan,Aegislash,Tapu Fini,Zapdos
691344849,1,Charizard,Scrafty,Aegislash,Tapu Bulu,Milotic,Togekiss,Charizard,Scrafty,Aegislash,Tapu Bulu
691344849,0,Charizard,Landorus,Scrafty,Tapu Koko,Cresselia,Kartana,Charizard,Scrafty,Tapu Koko,Cresselia
691782983,0,Cresselia,Landorus,Heatran,Charizard,Amoonguss,Tapu Fini,Cresselia,Landorus,Charizard,Tapu Fini
